airline_name,overall_rating,review_date,seat_type,type_of_traveller,is_recommended,verified,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,inflight_entertainment,value_for_money,rating_category
AB Aviation,9.0,2019-11-11,Economy Class,Solo Leisure,1,True,4.0,5.0,4.0,4.0,2.0,3.0,High
AB Aviation,1.0,2019-06-25,Economy Class,Solo Leisure,0,True,2.0,2.0,1.0,1.0,2.0,2.0,Low
AB Aviation,1.0,2019-06-25,Economy Class,Solo Leisure,0,True,2.0,1.0,1.0,1.0,2.0,2.0,Low
Adria Airways,1.0,2019-09-28,Economy Class,Solo Leisure,0,False,1.0,1.0,2.0,1.0,2.0,1.0,Low
Adria Airways,1.0,2019-09-24,Economy Class,Couple Leisure,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Adria Airways,1.0,2019-09-17,Economy Class,Couple Leisure,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Adria Airways,1.0,2019-09-06,Economy Class,Business,0,False,1.0,1.0,1.0,1.0,2.0,1.0,Low
Adria Airways,1.0,2019-08-24,Economy Class,Solo Leisure,0,False,1.0,1.0,1.0,1.0,1.0,1.0,Low
Adria Airways,1.0,2019-08-06,Economy Class,Solo Leisure,0,True,1.0,2.0,1.0,1.0,1.0,1.0,Low
Adria Airways,8.0,2018-10-12,Economy Class,Family Leisure,1,True,4.0,4.0,3.0,5.0,2.0,5.0,High
Adria Airways,1.0,2018-10-05,Economy Class,Business,0,False,2.0,1.0,2.0,1.0,1.0,1.0,Low
Adria Airways,1.0,2018-07-29,Economy Class,Family Leisure,0,True,4.0,1.0,1.0,4.0,2.0,1.0,Low
Adria Airways,2.0,2018-07-19,Economy Class,Solo Leisure,0,True,3.0,3.0,2.0,3.0,2.0,2.0,Low
Adria Airways,2.0,2018-06-30,Economy Class,Business,0,True,1.0,2.0,2.0,2.0,2.0,1.0,Low
Adria Airways,3.0,2018-06-24,Economy Class,Couple Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Adria Airways,1.0,2018-05-04,Economy Class,Business,1,True,5.0,5.0,5.0,5.0,2.0,5.0,Low
Adria Airways,1.0,2018-03-11,Economy Class,Solo Leisure,0,True,2.0,1.0,1.0,1.0,1.0,1.0,Low
Adria Airways,3.0,2017-12-05,Economy Class,Solo Leisure,0,True,2.0,4.0,1.0,1.0,2.0,3.0,Low
Adria Airways,9.0,2017-11-20,Economy Class,Business,1,True,5.0,5.0,3.0,5.0,2.0,3.0,High
Adria Airways,2.0,2017-10-27,Economy Class,Couple Leisure,0,False,3.0,3.0,2.0,1.0,2.0,1.0,Low
Adria Airways,2.0,2017-09-16,Economy Class,Family Leisure,0,False,3.0,4.0,1.0,1.0,2.0,2.0,Low
Adria Airways,9.0,2017-04-19,Economy Class,Business,1,False,5.0,5.0,4.0,5.0,4.0,4.0,High
Adria Airways,8.0,2017-01-27,Business Class,Solo Leisure,1,False,5.0,5.0,4.0,5.0,5.0,4.0,High
Adria Airways,1.0,2016-11-10,Economy Class,Business,1,False,5.0,5.0,2.0,5.0,2.0,4.0,Low
Adria Airways,8.0,2016-11-09,Business Class,Solo Leisure,1,False,4.0,4.0,3.0,3.0,2.0,4.0,High
Adria Airways,5.0,,Economy Class,Business,0,False,3.0,5.0,1.0,4.0,3.0,1.0,Medium
Adria Airways,2.0,,Economy Class,Solo Leisure,0,False,1.0,1.0,2.0,3.0,1.0,1.0,Low
Adria Airways,3.0,2016-10-10,Economy Class,Solo Leisure,0,False,3.0,1.0,1.0,2.0,2.0,2.0,Low
Adria Airways,3.0,2016-09-30,Economy Class,Couple Leisure,0,False,2.0,2.0,2.0,4.0,2.0,4.0,Low
Adria Airways,6.0,2016-09-04,Economy Class,Family Leisure,1,False,2.0,4.0,3.0,3.0,4.0,4.0,Medium
Adria Airways,3.0,2016-08-06,Economy Class,Couple Leisure,0,False,4.0,5.0,2.0,1.0,2.0,3.0,Low
Adria Airways,1.0,2016-07-29,Economy Class,Solo Leisure,1,False,5.0,5.0,5.0,5.0,2.0,5.0,Low
Adria Airways,8.0,2016-07-13,Economy Class,Business,1,False,4.0,4.0,3.0,5.0,2.0,4.0,High
Adria Airways,1.0,2016-07-11,Economy Class,Solo Leisure,1,False,5.0,5.0,2.0,5.0,2.0,5.0,Low
Adria Airways,6.0,2016-07-10,Economy Class,Solo Leisure,1,False,3.0,2.0,2.0,4.0,2.0,3.0,Medium
Adria Airways,3.0,2016-01-25,Economy Class,Solo Leisure,0,False,2.0,3.0,1.0,3.0,1.0,1.0,Low
Adria Airways,5.0,2015-12-04,Economy Class,Couple Leisure,0,False,3.0,3.0,2.0,3.0,2.0,2.0,Medium
Adria Airways,7.0,,Economy Class,Solo Leisure,1,False,5.0,1.0,1.0,5.0,2.0,5.0,High
Adria Airways,9.0,2015-09-20,Business Class,Business,1,False,5.0,5.0,5.0,5.0,4.0,5.0,High
Adria Airways,5.0,2015-09-09,Economy Class,Family Leisure,0,False,4.0,3.0,2.0,3.0,2.0,3.0,Medium
Adria Airways,6.0,2015-09-04,Economy Class,Family Leisure,1,False,4.0,5.0,2.0,5.0,2.0,2.0,Medium
Adria Airways,1.0,,Economy Class,Family Leisure,1,False,5.0,5.0,2.0,5.0,2.0,4.0,Low
Adria Airways,7.0,2015-04-10,Economy Class,Unknown,1,False,4.0,4.0,4.0,1.0,0.0,4.0,High
Adria Airways,1.0,2015-01-05,Business Class,Unknown,1,False,4.0,5.0,4.0,1.0,1.0,5.0,Low
Adria Airways,9.0,2014-09-14,Economy Class,Unknown,1,False,5.0,5.0,4.0,1.0,0.0,5.0,High
Adria Airways,8.0,2014-09-06,Business Class,Unknown,1,False,4.0,4.0,3.0,1.0,1.0,4.0,High
Adria Airways,4.0,2014-06-16,Economy Class,Unknown,0,False,4.0,2.0,1.0,1.0,2.0,2.0,Medium
Adria Airways,9.0,2014-06-08,Economy Class,Unknown,1,False,4.0,4.0,3.0,1.0,3.0,4.0,High
Adria Airways,5.0,,Economy Class,Unknown,1,False,4.0,4.0,1.0,1.0,0.0,3.0,Medium
Adria Airways,9.0,2014-05-10,Economy Class,Unknown,1,False,5.0,5.0,4.0,1.0,3.0,4.0,High
Adria Airways,8.0,2014-01-13,Business Class,Unknown,1,False,4.0,3.0,4.0,1.0,1.0,4.0,High
Adria Airways,1.0,2014-01-06,Economy Class,Unknown,1,False,5.0,5.0,4.0,1.0,4.0,4.0,Low
Adria Airways,9.0,,Economy Class,Unknown,1,False,4.0,4.0,4.0,1.0,4.0,4.0,High
Adria Airways,7.0,2013-08-28,Economy Class,Unknown,1,False,4.0,5.0,3.0,1.0,3.0,5.0,High
Adria Airways,8.0,2013-08-19,Economy Class,Unknown,1,False,4.0,4.0,4.0,1.0,0.0,4.0,High
Adria Airways,7.0,2013-08-19,Business Class,Unknown,1,False,3.0,3.0,4.0,1.0,1.0,4.0,High
Adria Airways,7.0,2013-06-10,Business Class,Unknown,1,False,2.0,5.0,4.0,1.0,0.0,4.0,High
Adria Airways,5.0,2013-05-27,Economy Class,Unknown,1,False,4.0,4.0,1.0,1.0,0.0,4.0,Medium
Adria Airways,9.0,2012-10-08,Economy Class,Unknown,1,False,4.0,5.0,4.0,1.0,0.0,2.0,High
Adria Airways,5.0,2012-07-04,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,Medium
Adria Airways,5.0,2012-06-17,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,Medium
Adria Airways,8.0,2012-06-12,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,1.0,High
Adria Airways,9.0,2012-02-16,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,High
Adria Airways,5.0,2012-01-17,Economy Class,Unknown,0,False,3.0,3.0,2.0,1.0,2.0,1.0,Medium
Adria Airways,9.0,2011-09-20,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,High
Adria Airways,9.0,2011-09-13,Business Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,High
Adria Airways,1.0,2011-09-13,Business Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,Low
Adria Airways,7.0,2011-01-19,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,1.0,High
Adria Airways,5.0,2011-01-07,Economy Class,Unknown,0,False,3.0,3.0,2.0,1.0,2.0,1.0,Medium
Adria Airways,5.0,2010-10-10,Economy Class,Unknown,0,False,3.0,3.0,2.0,1.0,2.0,1.0,Medium
Adria Airways,6.0,2009-11-25,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,1.0,Medium
Adria Airways,7.0,2009-05-27,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,High
Adria Airways,5.0,2009-05-26,Economy Class,Unknown,1,False,3.0,3.0,2.0,1.0,2.0,4.0,Medium
Adria Airways,3.0,2009-02-28,Unknown,Unknown,0,False,3.0,3.0,2.0,1.0,2.0,2.0,Low
Adria Airways,4.0,2008-05-29,Unknown,Unknown,0,False,3.0,3.0,2.0,1.0,2.0,2.0,Medium
Adria Airways,4.0,2008-05-12,Unknown,Unknown,0,False,3.0,3.0,2.0,1.0,2.0,2.0,Medium
Adria Airways,4.0,2008-02-11,Unknown,Unknown,0,False,3.0,3.0,2.0,1.0,2.0,2.0,Medium
Aegean Airlines,1.0,2023-07-24,Economy Class,Family Leisure,0,True,2.0,1.0,1.0,1.0,4.0,1.0,Low
Aegean Airlines,1.0,2023-07-19,Economy Class,Couple Leisure,0,True,3.0,1.0,3.0,1.0,2.0,1.0,Low
Aegean Airlines,4.0,2023-07-17,Economy Class,Family Leisure,1,True,2.0,3.0,3.0,2.0,1.0,2.0,Medium
Aegean Airlines,4.0,2023-07-16,Premium Economy,Couple Leisure,0,True,3.0,2.0,2.0,2.0,2.0,2.0,Medium
Aegean Airlines,1.0,2023-07-16,Economy Class,Couple Leisure,0,False,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,1.0,2023-07-15,Business Class,Couple Leisure,0,False,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,1.0,2023-07-11,Economy Class,Couple Leisure,0,False,3.0,3.0,1.0,1.0,2.0,2.0,Low
Aegean Airlines,1.0,2023-07-07,Economy Class,Couple Leisure,1,True,3.0,3.0,2.0,5.0,2.0,5.0,Low
Aegean Airlines,8.0,2023-07-05,Business Class,Business,1,True,3.0,4.0,4.0,3.0,2.0,4.0,High
Aegean Airlines,4.0,2023-07-04,Economy Class,Business,0,True,2.0,4.0,3.0,1.0,2.0,2.0,Medium
Aegean Airlines,1.0,,Business Class,Business,0,False,5.0,5.0,5.0,1.0,2.0,1.0,Low
Aegean Airlines,6.0,,Economy Class,Couple Leisure,1,True,4.0,3.0,2.0,4.0,2.0,5.0,Medium
Aegean Airlines,1.0,,Economy Class,Solo Leisure,0,True,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,2.0,2023-06-30,Economy Class,Couple Leisure,0,True,1.0,2.0,1.0,1.0,2.0,3.0,Low
Aegean Airlines,9.0,2023-06-29,Economy Class,Couple Leisure,1,True,5.0,5.0,5.0,4.0,2.0,5.0,High
